,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita
27,Qatar,Middle East and Northern Africa,28.0,6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,France,Western Europe,29.0,6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Argentina,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Czech Republic,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Uruguay,Latin America and Caribbean,32.0,6.485,0.04539,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Colombia,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Thailand,Southeastern Asia,34.0,6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Saudi Arabia,Middle East and Northern Africa,35.0,6.411,0.04633,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Spain,Western Europe,36.0,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Malta,Western Europe,37.0,6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Taiwan,Eastern Asia,38.0,6.298,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kuwait,Middle East and Northern Africa,39.0,6.295,0.04456,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Suriname,Latin America and Caribbean,40.0,6.269,0.09811,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Trinidad and Tobago,Latin America and Caribbean,41.0,6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,El Salvador,Latin America and Caribbean,42.0,6.13,0.05618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Guatemala,Latin America and Caribbean,43.0,6.123,0.05224,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Uzbekistan,Central and Eastern Europe,44.0,6.003,0.04361,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Slovakia,Central and Eastern Europe,45.0,5.995,0.04267,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Japan,Eastern Asia,46.0,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,South Korea,Eastern Asia,47.0,5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ecuador,Latin America and Caribbean,48.0,5.975,0.04528,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,Middle East and Northern Africa,49.0,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Italy,Western Europe,50.0,5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bolivia,Latin America and Caribbean,51.0,5.89,0.05642,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Moldova,Central and Eastern Europe,52.0,5.889,0.03799,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Paraguay,Latin America and Caribbean,53.0,5.878,0.04563,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Kazakhstan,Central and Eastern Europe,54.0,5.855,0.04114,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Slovenia,Central and Eastern Europe,55.0,5.848,0.04251,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lithuania,Central and Eastern Europe,56.0,5.833,0.03843,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nicaragua,Latin America and Caribbean,57.0,5.828,0.05371,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Peru,Latin America and Caribbean,58.0,5.824,0.04615,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Belarus,Central and Eastern Europe,59.0,5.813,0.03938,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Poland,Central and Eastern Europe,60.0,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Malaysia,Southeastern Asia,61.0,5.77,0.0433,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Croatia,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Libya,Middle East and Northern Africa,63.0,5.754,0.07832,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Russia,Central and Eastern Europe,64.0,5.716,0.03135,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jamaica,Latin America and Caribbean,65.0,5.709,0.13693,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,North Cyprus,Western Europe,66.0,5.695,0.05635,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Cyprus,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Algeria,Middle East and Northern Africa,68.0,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kosovo,Central and Eastern Europe,69.0,5.589,0.05018,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Turkmenistan,Central and Eastern Europe,70.0,5.548,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mauritius,Sub-Saharan Africa,71.0,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Hong Kong,Eastern Asia,72.0,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Estonia,Central and Eastern Europe,73.0,5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Indonesia,Southeastern Asia,74.0,5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,1.86399,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Vietnam,Southeastern Asia,75.0,5.36,0.03107,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Turkey,Middle East and Northern Africa,76.0,5.332,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Kyrgyzstan,Central and Eastern Europe,77.0,5.286,0.03823,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Nigeria,Sub-Saharan Africa,78.0,5.268,0.04192,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bhutan,Southern Asia,79.0,5.253,0.03225,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Azerbaijan,Central and Eastern Europe,80.0,5.212,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pakistan,Southern Asia,81.0,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Jordan,Middle East and Northern Africa,82.0,5.192,0.04524,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Montenegro,Central and Eastern Europe,82.0,5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,China,Eastern Asia,84.0,5.14,0.02424,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Zambia,Sub-Saharan Africa,85.0,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Romania,Central and Eastern Europe,86.0,5.124,0.06607,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Serbia,Central and Eastern Europe,87.0,5.123,0.04864,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Portugal,Western Europe,88.0,5.102,0.04802,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Latvia,Central and Eastern Europe,89.0,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Philippines,Southeastern Asia,90.0,5.073,0.04934,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Somaliland region,Sub-Saharan Africa,91.0,5.057,0.06161,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Morocco,Middle East and Northern Africa,92.0,5.013,0.0342,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Macedonia,Central and Eastern Europe,93.0,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Mozambique,Sub-Saharan Africa,94.0,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Albania,Central and Eastern Europe,95.0,4.959,0.05013,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bosnia and Herzegovina,Central and Eastern Europe,96.0,4.949,0.06913,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Lesotho,Sub-Saharan Africa,97.0,4.898,0.09438,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Dominican Republic,Latin America and Caribbean,98.0,4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Laos,Southeastern Asia,99.0,4.876,0.06698,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mongolia,Eastern Asia,100.0,4.874,0.03313,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Swaziland,Sub-Saharan Africa,101.0,4.867,0.08742,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Greece,Western Europe,102.0,4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,1.80101,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Lebanon,Middle East and Northern Africa,103.0,4.839,0.04337,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Hungary,Central and Eastern Europe,104.0,4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Honduras,Latin America and Caribbean,105.0,4.788,0.05648,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tajikistan,Central and Eastern Europe,106.0,4.786,0.03198,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Tunisia,Middle East and Northern Africa,107.0,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Palestinian Territories,Middle East and Northern Africa,108.0,4.715,0.04394,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Bangladesh,Southern Asia,109.0,4.694,0.03077,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Iran,Middle East and Northern Africa,110.0,4.686,0.04449,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Ukraine,Central and Eastern Europe,111.0,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Iraq,Middle East and Northern Africa,112.0,4.677,0.05232,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,1.95335,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,South Africa,Sub-Saharan Africa,113.0,4.642,0.04585,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ghana,Sub-Saharan Africa,114.0,4.633,0.04742,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Zimbabwe,Sub-Saharan Africa,115.0,4.61,0.0429,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Liberia,Sub-Saharan Africa,116.0,4.571,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,India,Southern Asia,117.0,4.565,0.02043,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Sudan,Sub-Saharan Africa,118.0,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Haiti,Latin America and Caribbean,119.0,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Congo (Kinshasa),Sub-Saharan Africa,120.0,4.517,0.0368,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Nepal,Southern Asia,121.0,4.514,0.03607,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Ethiopia,Sub-Saharan Africa,122.0,4.512,0.0378,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
